x	xend	y	yend	showSelected1	PANEL
-4.33972583017274	-3.56663440106019	20	20	4.2	3
-3.56663440106019	-3.30115430325331	19	19	4.2	3
-3.30115430325331	-3.25818648236058	16	16	4.2	3
-3.25818648236058	-3.0009183343543	15	15	4.2	3
-3.0009183343543	-2.8815686260577	14	14	4.2	3
-2.8815686260577	-2.86800744537142	13	13	4.2	3
-2.86800744537142	-2.84214141600921	11	11	4.2	3
-2.84214141600921	-2.83163579249532	9	9	4.2	3
-2.83163579249532	-2.70750117202076	8	8	4.2	3
-2.70750117202076	-2.26861906020816	7	7	4.2	3
-2.26861906020816	-1.36503598853577	5	5	4.2	3
-1.36503598853577	1.13643272732406	4	4	4.2	3
1.13643272732406	1.3880727789899	3	3	4.2	3
1.3880727789899	1.92930047961761	2	2	4.2	3
1.92930047961761	3.75790907692382	1	1	4.2	3
-4.33972583017274	-2.18653625590691	20	20	11.2	3
-2.18653625590691	-2.1241285982013	19	19	11.2	3
-2.1241285982013	-2.07808513430027	17	17	11.2	3
-2.07808513430027	-1.51896525388662	15	15	11.2	3
-1.51896525388662	-1.39164009689374	14	14	11.2	3
-1.39164009689374	-1.20090484481122	13	13	11.2	3
-1.20090484481122	-1.14257613408393	9	9	11.2	3
-1.14257613408393	-1.10944438930312	8	8	11.2	3
-1.10944438930312	-0.862198476006618	7	7	11.2	3
-0.862198476006618	-0.531082928688185	6	6	11.2	3
-0.531082928688185	-0.456570392651191	5	5	11.2	3
-0.456570392651191	0.0418331606939675	3	3	11.2	3
0.0418331606939675	0.261115261801065	2	2	11.2	3
0.261115261801065	3.75790907692382	1	1	11.2	3
-4.33972583017274	-3.20384107775527	20	20	4.3	3
-3.20384107775527	-3.06840998840936	19	19	4.3	3
-3.06840998840936	-3.04474014633749	18	18	4.3	3
-3.04474014633749	-2.78812513377508	17	17	4.3	3
-2.78812513377508	-2.7639401175084	15	15	4.3	3
-2.7639401175084	-2.70130248564482	13	13	4.3	3
-2.70130248564482	-2.6030487008235	11	11	4.3	3
-2.6030487008235	-2.52551293935828	9	9	4.3	3
-2.52551293935828	-2.45142745600641	7	7	4.3	3
-2.45142745600641	-2.44350391064387	6	6	4.3	3
-2.44350391064387	-2.02996478441467	3	3	4.3	3
-2.02996478441467	2.27284346410842	2	2	4.3	3
2.27284346410842	3.75790907692382	1	1	4.3	3
-4.33972583017274	-3.9716515162138	20	20	4.5	3
-3.9716515162138	-3.92471494915562	19	19	4.5	3
-3.92471494915562	-3.91338661357551	17	17	4.5	3
-3.91338661357551	-3.78301272895602	16	16	4.5	3
-3.78301272895602	-3.75543323162945	15	15	4.5	3
-3.75543323162945	-3.57944318229312	13	13	4.5	3
-3.57944318229312	-3.48987546097958	11	11	4.5	3
-3.48987546097958	-3.26212279428895	9	9	4.5	3
-3.26212279428895	-3.221094695346	8	8	4.5	3
-3.221094695346	-2.66669538877928	5	5	4.5	3
-2.66669538877928	-2.39787802507726	4	4	4.5	3
-2.39787802507726	-2.29088140629073	3	3	4.5	3
-2.29088140629073	0.452597824334047	2	2	4.5	3
0.452597824334047	3.75790907692382	1	1	4.5	3
-4.33972583017274	-3.07950695379504	20	20	1.7	3
-3.07950695379504	-2.96287173217482	17	17	1.7	3
-2.96287173217482	-2.85688081395927	16	16	1.7	3
-2.85688081395927	-2.84212446145553	15	15	1.7	3
-2.84212446145553	-2.72127814009186	14	14	1.7	3
-2.72127814009186	-2.38546944483822	13	13	1.7	3
-2.38546944483822	-2.31365350067406	11	11	1.7	3
-2.31365350067406	-2.18572992321851	10	10	1.7	3
-2.18572992321851	-2.17238862804802	9	9	1.7	3
-2.17238862804802	-1.77542959816022	7	7	1.7	3
-1.77542959816022	-1.76719091473653	6	6	1.7	3
-1.76719091473653	-1.74035665081511	4	4	1.7	3
-1.74035665081511	-1.3787042477478	3	3	1.7	3
-1.3787042477478	2.27540865447966	2	2	1.7	3
2.27540865447966	3.75790907692382	1	1	1.7	3
-4.33972583017274	-2.69048027447124	20	20	11.8	3
-2.69048027447124	-2.57728572949625	19	19	11.8	3
-2.57728572949625	-2.57634389212915	18	18	11.8	3
-2.57634389212915	-2.57117788990798	17	17	11.8	3
-2.57117788990798	-2.5087976256396	16	16	11.8	3
-2.5087976256396	-2.40040964768051	14	14	11.8	3
-2.40040964768051	-2.15829260886333	12	12	11.8	3
-2.15829260886333	-1.79626447583382	11	11	11.8	3
-1.79626447583382	-1.63102286719642	9	9	11.8	3
-1.63102286719642	-1.49989832951391	8	8	11.8	3
-1.49989832951391	-1.24912774231116	7	7	11.8	3
-1.24912774231116	-0.501370707911299	6	6	11.8	3
-0.501370707911299	0.30292383590694	4	4	11.8	3
0.30292383590694	3.75790907692382	1	1	11.8	3
-4.33972583017274	-3.73178442501104	20	20	10.9	3
-3.73178442501104	-3.59756816833005	19	19	10.9	3
-3.59756816833005	-3.53803555792348	18	18	10.9	3
-3.53803555792348	-3.53127451660876	15	15	10.9	3
-3.53127451660876	-3.48128654103604	13	13	10.9	3
-3.48128654103604	-3.3697093478299	12	12	10.9	3
-3.3697093478299	-3.32875630100545	11	11	10.9	3
-3.32875630100545	-3.2984816276266	9	9	10.9	3
-3.2984816276266	-3.22175029534011	7	7	10.9	3
-3.22175029534011	-3.21264767989011	6	6	10.9	3
-3.21264767989011	-2.76265203684424	5	5	10.9	3
-2.76265203684424	-2.54965344971884	3	3	10.9	3
-2.54965344971884	3.75790907692382	1	1	10.9	3
