group	xintercept
1	45.1646255
1	114.0421115
1	163.3230035
1	45.1646255
1	114.0421115
1	163.3230035
1	45.1646255
1	114.0421115
1	159.0010955
1	163.3230035
1	45.1646255
1	114.0421115
1	156.5677825
1	159.0010955
1	163.3230035
1	45.1646255
1	114.0421115
1	126.7247165
1	154.5368745
1	159.0010955
1	163.3230035
1	45.1646255
1	114.0421115
1	124.7175465
1	126.7247165
1	154.5368745
1	159.0010955
1	163.3230035
1	45.1646255
1	114.0421115
1	124.7175465
1	126.7247165
1	154.5368745
1	159.0010955
1	163.3230035
1	230.2714635
1	45.1646255
1	114.0421115
1	117.8272545
1	119.6283145
1	124.7175465
1	126.7247165
1	154.5368745
1	159.0010955
1	163.3230035
1	45.1646255
1	114.0421115
1	117.8272545
1	119.6283145
1	124.7175465
1	126.7247165
1	154.5368745
1	159.0010955
1	163.3230035
1	230.2714635
1	45.1646255
1	114.0421115
1	117.8272545
1	119.6283145
1	124.7175465
1	126.7247165
1	154.5368745
1	159.0010955
1	163.3230035
1	230.2714635
1	242.4128845
1	45.1646255
1	114.0421115
1	117.8272545
1	119.6283145
1	124.7175465
1	126.7247165
1	128.2042035
1	129.2749285
1	154.5368745
1	159.0010955
1	163.3230035
1	230.2714635
1	45.1646255
1	114.0421115
1	117.8272545
1	119.6283145
1	124.7175465
1	126.7247165
1	128.2042035
1	129.2749285
1	154.5368745
1	159.0010955
1	163.3230035
1	230.2714635
1	242.4128845
1	45.1646255
1	60.5902655
1	114.0421115
1	117.8272545
1	119.6283145
1	124.7175465
1	126.7247165
1	128.2042035
1	129.2749285
1	154.5368745
1	159.0010955
1	163.3230035
1	230.2714635
1	242.4128845
1	45.1646255
1	60.5902655
1	114.0421115
1	117.8272545
1	119.6283145
1	124.7175465
1	126.7247165
1	128.2042035
1	129.2749285
1	154.5368745
1	159.0010955
1	162.3798635
1	163.3230035
1	230.2714635
1	242.4128845
1	32.2051405
1	45.1646255
1	60.5902655
1	114.0421115
1	117.8272545
1	119.6283145
1	124.7175465
1	126.7247165
1	128.2042035
1	129.2749285
1	154.5368745
1	159.0010955
1	162.3798635
1	163.3230035
1	230.2714635
1	242.4128845
1	15.4697025
1	15.7986865
1	32.2051405
1	45.1646255
1	60.5902655
1	114.0421115
1	117.8272545
1	119.6283145
1	124.7175465
1	126.7247165
1	128.2042035
1	129.2749285
1	154.5368745
1	159.0010955
1	163.3230035
1	230.2714635
1	242.4128845
1	15.4697025
1	15.7986865
1	32.2051405
1	45.1646255
1	60.5902655
1	114.0421115
1	117.8272545
1	119.6283145
1	124.7175465
1	126.7247165
1	128.2042035
1	129.2749285
1	154.5368745
1	159.0010955
1	162.3798635
1	163.3230035
1	230.2714635
1	242.4128845
1	15.4697025
1	15.7986865
1	32.2051405
1	45.1646255
1	59.1372395
1	60.5902655
1	114.0421115
1	117.8272545
1	119.6283145
1	124.7175465
1	126.7247165
1	128.2042035
1	129.2749285
1	154.5368745
1	159.0010955
1	162.3798635
1	163.3230035
1	230.2714635
1	242.4128845
