group	xintercept
1	139.1335145
1	44.9767385
1	47.4257565
1	44.9767385
1	47.4257565
1	139.1335145
1	37.3378335
1	44.9767385
1	47.4257565
1	139.1335145
1	23.9470165
1	37.3378335
1	44.9767385
1	47.4257565
1	139.1335145
1	23.9470165
1	37.3378335
1	39.0803165
1	44.9767385
1	47.4257565
1	139.1335145
1	2.4423015
1	25.5803905
1	37.3378335
1	39.0803165
1	44.9767385
1	47.4257565
1	139.1335145
1	0.9476345
1	2.4423015
1	25.5803905
1	37.3378335
1	39.0803165
1	44.9767385
1	47.4257565
1	139.1335145
1	2.4423015
1	25.5803905
1	37.3378335
1	39.0803165
1	44.9767385
1	47.4257565
1	128.6921785
1	131.6270055
1	139.1335145
1	0.9476345
1	2.4423015
1	25.5803905
1	37.3378335
1	39.0803165
1	44.9767385
1	47.4257565
1	128.6921785
1	131.6270055
1	139.1335145
1	0.9476345
1	2.4423015
1	21.8176245
1	23.9470165
1	37.3378335
1	39.0803165
1	44.9767385
1	47.4257565
1	128.6921785
1	131.6270055
1	139.1335145
1	0.9476345
1	2.4423015
1	21.8176245
1	23.9470165
1	37.3378335
1	39.0803165
1	44.9767385
1	47.4257565
1	128.6921785
1	131.6270055
1	139.1335145
1	144.6543435
1	0.9476345
1	2.4423015
1	21.8176245
1	23.9470165
1	37.3378335
1	39.0803165
1	44.9767385
1	47.4257565
1	112.9072335
1	115.1839055
1	128.6921785
1	131.6270055
1	139.1335145
1	0.9476345
1	2.4423015
1	21.8176245
1	23.9470165
1	37.3378335
1	39.0803165
1	44.9767385
1	47.4257565
1	112.9072335
1	115.1839055
1	128.6921785
1	131.6270055
1	139.1335145
1	144.6543435
1	0.9476345
1	2.4423015
1	21.8176245
1	23.9470165
1	32.6284035
1	32.9851025
1	37.3378335
1	39.0803165
1	44.9767385
1	47.4257565
1	112.9072335
1	115.1839055
1	128.6921785
1	131.6270055
1	139.1335145
1	0.9476345
1	2.4423015
1	21.8176245
1	23.9470165
1	32.6284035
1	32.9851025
1	37.3378335
1	39.0803165
1	44.9767385
1	47.4257565
1	112.9072335
1	115.1839055
1	128.6921785
1	131.6270055
1	139.1335145
1	144.6543435
1	0.9476345
1	2.4423015
1	21.8176245
1	23.9470165
1	32.6284035
1	32.9851025
1	37.3378335
1	39.0803165
1	42.4203975
1	44.9767385
1	47.4257565
1	112.9072335
1	115.1839055
1	128.6921785
1	131.6270055
1	139.1335145
1	144.6543435
1	0.9476345
1	2.4423015
1	21.8176245
1	22.4095735
1	23.9470165
1	32.6284035
1	32.9851025
1	37.3378335
1	39.0803165
1	42.4203975
1	44.9767385
1	47.4257565
1	112.9072335
1	115.1839055
1	128.6921785
1	131.6270055
1	139.1335145
1	144.6543435
1	0.9476345
1	2.4423015
1	21.8176245
1	22.4095735
1	23.9470165
1	32.6284035
1	32.9851025
1	37.3378335
1	39.0803165
1	42.4203975
1	44.9767385
1	47.4257565
1	112.9072335
1	115.1839055
1	128.6921785
1	131.6270055
1	137.7473455
1	139.1335145
1	144.6543435
