group	x	xend	y	yend
1	1.4724755	242.8010185	-0.0209215304340974	-0.0209215304340974
1	1.4724755	45.1646255	0.351231083335796	0.351231083335796
1	45.1646255	242.8010185	-0.0999798577116396	-0.0999798577116396
1	1.4724755	114.0421115	0.131187692177153	0.131187692177153
1	114.0421115	163.3230035	-0.453490839476279	-0.453490839476279
1	163.3230035	242.8010185	0.00303570908258694	0.00303570908258694
1	1.4724755	45.1646255	0.351231083335796	0.351231083335796
1	45.1646255	114.0421115	0.00588520554514764	0.00588520554514764
1	114.0421115	163.3230035	-0.453490839476279	-0.453490839476279
1	163.3230035	242.8010185	0.00303570908258694	0.00303570908258694
1	1.4724755	45.1646255	0.351231083335796	0.351231083335796
1	45.1646255	114.0421115	0.00588520554514764	0.00588520554514764
1	114.0421115	159.0010955	-0.426212837173943	-0.426212837173943
1	159.0010955	163.3230035	-0.666259257434501	-0.666259257434501
1	163.3230035	242.8010185	0.00303570908258694	0.00303570908258694
1	1.4724755	45.1646255	0.351231083335796	0.351231083335796
1	45.1646255	114.0421115	0.00588520554514764	0.00588520554514764
1	114.0421115	156.5677825	-0.447813047347529	-0.447813047347529
1	156.5677825	159.0010955	-0.30741168121922	-0.30741168121922
1	159.0010955	163.3230035	-0.666259257434501	-0.666259257434501
1	163.3230035	242.8010185	0.00303570908258694	0.00303570908258694
1	1.4724755	45.1646255	0.351231083335796	0.351231083335796
1	45.1646255	114.0421115	0.00588520554514764	0.00588520554514764
1	114.0421115	126.7247165	-0.376525724224799	-0.376525724224799
1	126.7247165	154.5368745	-0.498885844893864	-0.498885844893864
1	154.5368745	159.0010955	-0.328145113262844	-0.328145113262844
1	159.0010955	163.3230035	-0.666259257434501	-0.666259257434501
1	163.3230035	242.8010185	0.00303570908258694	0.00303570908258694
1	1.4724755	45.1646255	0.351231083335796	0.351231083335796
1	45.1646255	114.0421115	0.00588520554514764	0.00588520554514764
1	114.0421115	124.7175465	-0.419570687362531	-0.419570687362531
1	124.7175465	126.7247165	-0.247390834811606	-0.247390834811606
1	126.7247165	154.5368745	-0.498885844893864	-0.498885844893864
1	154.5368745	159.0010955	-0.328145113262844	-0.328145113262844
1	159.0010955	163.3230035	-0.666259257434501	-0.666259257434501
1	163.3230035	242.8010185	0.00303570908258694	0.00303570908258694
1	1.4724755	45.1646255	0.351231083335796	0.351231083335796
1	45.1646255	114.0421115	0.00588520554514764	0.00588520554514764
1	114.0421115	124.7175465	-0.419570687362531	-0.419570687362531
1	124.7175465	126.7247165	-0.247390834811606	-0.247390834811606
1	126.7247165	154.5368745	-0.498885844893864	-0.498885844893864
1	154.5368745	159.0010955	-0.328145113262844	-0.328145113262844
1	159.0010955	163.3230035	-0.666259257434501	-0.666259257434501
1	163.3230035	230.2714635	0.0160753754835039	0.0160753754835039
1	230.2714635	242.8010185	-0.0556427897215395	-0.0556427897215395
1	1.4724755	45.1646255	0.351231083335796	0.351231083335796
1	45.1646255	114.0421115	0.00588520554514764	0.00588520554514764
1	114.0421115	117.8272545	-0.471611509429574	-0.471611509429574
1	117.8272545	119.6283145	-0.206989955325322	-0.206989955325322
1	119.6283145	124.7175465	-0.486830436830852	-0.486830436830852
1	124.7175465	126.7247165	-0.247390834811606	-0.247390834811606
1	126.7247165	154.5368745	-0.498885844893864	-0.498885844893864
1	154.5368745	159.0010955	-0.328145113262844	-0.328145113262844
1	159.0010955	163.3230035	-0.666259257434501	-0.666259257434501
1	163.3230035	242.8010185	0.00303570908258694	0.00303570908258694
1	1.4724755	45.1646255	0.351231083335796	0.351231083335796
1	45.1646255	114.0421115	0.00588520554514764	0.00588520554514764
1	114.0421115	117.8272545	-0.471611509429574	-0.471611509429574
1	117.8272545	119.6283145	-0.206989955325322	-0.206989955325322
1	119.6283145	124.7175465	-0.486830436830852	-0.486830436830852
1	124.7175465	126.7247165	-0.247390834811606	-0.247390834811606
1	126.7247165	154.5368745	-0.498885844893864	-0.498885844893864
