group	xintercept
1	231.4585615
1	132.7035095
1	231.4585615
1	127.3878285
1	132.7035095
1	231.4585615
1	86.0999865
1	87.7106665
1	132.7035095
1	231.4585615
1	4.5028575
1	86.0999865
1	87.7106665
1	132.7035095
1	231.4585615
1	4.5028575
1	86.0999865
1	87.7106665
1	127.3878285
1	132.7035095
1	231.4585615
1	4.5028575
1	86.0999865
1	87.7106665
1	99.4964625
1	127.3878285
1	132.7035095
1	231.4585615
1	4.5028575
1	86.0999865
1	87.7106665
1	99.4964625
1	127.3878285
1	127.8624965
1	132.7035095
1	231.4585615
1	4.5028575
1	71.5388585
1	73.9532855
1	86.0999865
1	87.7106665
1	99.4964625
1	127.3878285
1	132.7035095
1	231.4585615
1	4.5028575
1	71.5388585
1	73.9532855
1	86.0999865
1	87.7106665
1	99.4964625
1	127.3878285
1	127.8624965
1	132.7035095
1	231.4585615
1	4.5028575
1	24.9251815
1	28.9706765
1	71.5388585
1	73.9532855
1	86.0999865
1	87.7106665
1	99.4964625
1	127.3878285
1	132.7035095
1	231.4585615
1	4.5028575
1	24.9251815
1	28.9706765
1	71.5388585
1	73.9532855
1	86.0999865
1	87.7106665
1	99.4964625
1	127.3878285
1	127.8624965
1	132.7035095
1	231.4585615
1	4.5028575
1	24.9251815
1	28.9706765
1	71.5388585
1	73.9532855
1	86.0999865
1	87.7106665
1	99.4964625
1	127.3878285
1	127.8624965
1	132.7035095
1	231.4585615
1	236.7341795
1	4.5028575
1	24.9251815
1	28.9706765
1	71.5388585
1	73.9532855
1	86.0999865
1	87.7106665
1	96.8091055
1	98.0611735
1	127.3878285
1	127.8624965
1	132.7035095
1	231.4585615
1	236.7341795
1	4.5028575
1	24.9251815
1	28.9706765
1	71.5388585
1	73.9532855
1	86.0999865
1	87.7106665
1	96.8091055
1	98.0611735
1	127.3878285
1	127.8624965
1	130.7665155
1	131.5885955
1	231.4585615
1	236.7341795
1	4.5028575
1	24.9251815
1	28.9706765
1	71.5388585
1	73.9532855
1	86.0999865
1	87.7106665
1	96.8091055
1	98.0611735
1	127.3878285
1	127.8624965
1	132.7035095
1	187.2033345
1	188.4494595
1	231.4585615
1	236.7341795
1	4.5028575
1	24.9251815
1	28.9706765
1	71.5388585
1	73.9532855
1	86.0999865
1	87.7106665
1	96.8091055
1	98.0611735
1	127.3878285
1	127.8624965
1	130.7665155
1	131.5885955
1	187.2033345
1	188.4494595
1	231.4585615
1	236.7341795
1	4.5028575
1	24.9251815
1	28.9706765
1	71.5388585
1	73.9532855
1	86.0999865
1	87.7106665
1	96.8091055
1	98.0611735
1	121.2175135
1	122.8868105
1	127.3878285
1	127.8624965
1	132.7035095
1	187.2033345
1	188.4494595
1	231.4585615
1	236.7341795
1	4.5028575
1	24.9251815
1	28.9706765
1	71.5388585
1	73.9532855
1	86.0999865
1	87.7106665
1	96.8091055
1	98.0611735
1	121.2175135
1	122.8868105
1	127.3878285
1	127.8624965
1	130.7665155
1	131.5885955
1	187.2033345
1	188.4494595
1	231.4585615
1	236.7341795
